"함께. 이번 방학에는 가족들과 함께 여행을 가기로 했어요.","together. This school break as for, family together trip go decided/planned"
"헤어지다. 어젯밤에 친구들과 몇 시에 헤어졌어요.","to part, separate. Last night friend with which time parted?"
"일상생활","everyday life"
"약속하기","making an appointment"
"갑자기. 갑자기 중요한 일이 생겨서 약속 시간에 늦었어요.","suddenly. Suddenly important work/matter came into being/occurred so appointment time for late was."
"같이. 영화를 보러 가는데 같이 갑시다","together. Movie see in order go so together let's go."
"기다리다. 지금 가고 있으니까 5분만 더 기다려 주세요.","to wait. Now on my way cuz 5 minutes only more wait pls."
"기억. 갑자기 친구의 이름이 기억나지 않았어요.","remembrance. Suddenly friend's name remembrance did not come."
"꼭. 다음 주에 시험이 있으니까 학교에 꼭 나오세요.","to be sure, surely. Next week test is so school surely attend/appear/come"
"만나다. 작년에 여행을 가서 만난 친구가 한국에 올 거예요.","to meet. Last year trip go and met friend korean to come will."
"물론. 친구와의 약속은 물론이고 한번 한 약속은 꼭 지켜 야 해요.","Of course. Friend's with promise, of course, and once made promist surely keep/protect must."
"보통. 올가 씨는 보통 때와 다른 옷을 입고 약속 장소에 나갔어요.","usual, usually. Olga as for usually occasion different cloth wear and appointment place to went out."
"스케줄. 내일은 스케줄이 복잡해서 약속하기가 어렵습니다.","a schedule. Tomorrow schedule crowded/packed making an appointment difficult is."
"시간. 왕위 씨는 시간이 있을 때마다 책을 읽습니다.","time. Wangwi as for time have when/period every book reads."
"안녕. 아녕, 잘가, 또 만나자.","hello, bye. Bye well go, again meet let's."
"약속. 약속 시간이 몇 시예요","appointment or promise to meet someone. Appointment time which time is?"
"잊다. 오늘이 친구의 생일인데 깜빡 잊었어요.","to forget. Today friend's birthday is but completely forgot."
"정하다. 약속 장소를 어디로 정할까요?","to decide. Promise to meet place where towards decide shall we?"
"정확하다. 정확한 시간과 장소를 알려 주세요.","to be precise. Precise time and place let me know."
"지내다. 요즘 행복하게 지내고 있습니다.","spend time, get along. these days happily spending."
"취소하다. 날씨 때문에 비행기표 예약을 취소했어요.","to cancel. Weather cuz of plane ticket reservation canceled."
