"테니까","테 + 니까. Assumption. I think that."
"많이 추울 테니까 조심하세요.","Very cold i assume will be cuz, be careful"
"제가 할 테니까 걱정하지 마세요.","Don’t worry because i will do it."
"김밥 맛이 비슷할 테니까 굳이 그 식당까지 안 가도 돼요.","Kimbap flavour similar will be assume cuz really that restaurant til don't go, it’s ok."
"이번에 제가 살 테니까 다음에 사 주세요.","This time i will buy so next time buy please."
"어두워질 테니까 밖에 안 나가요.","it will be dark so outside im not going out."
"내일은 공부해야 할 테니까 오늘 만날까요?","tomorrow study have to will cuz of today shall we meet?"
"내일은 공부해야 할 텐데 오늘 만날까요?","tomorrow study will have to, shall we meet today."
"많이 추울 텐데 괜찮겠어요?","Very cold will be, will you be ok?"
"철수가 숙제를 이미 했을 텐데.","chulsoo homework already did i assume."
"제가 했었을 텐데","i would have done it."
"철수가 할 텐데","i’m assuming chulsoo is gonna do it."
"이 시간에 아무도 없을 텐데요.","this time anybody will not be there im pretty sure."
"이제는 너무 늦었을 텐데","from now too late will be."
"미국 사람 일 텐데요.","im thinking he’s an american."
"테/터","will/plan."
"만약 있다면 좋았을 텐데.","hypothetically if i had it / it existed, it would be good im assuming."
"만약 시간이 있다면 갔을 텐데요.","hypothetically, if i had time, i assume i would have gone."
"만약 키가 컸다면 그 공을 잡을 수 있었을 텐데요.","if only i was tall, that ball i assume i could have caught it."
"텐데","bad ideas, contrast, softer, explain"
"비가 올 텐데","it’s gonna rain. (are you sure?)"
"매울 텐데","it’s gonna spicy (are you sure?)"
"무거울 텐데","it's gonna be heavy (are you sure?)"
"가: 바람이 많이 부네요. 나: 바람이 불면 추울 텐데 따뜻하게 입고 가는 게 좋겠어요.","A: it’s really windy. B: if it’s windy. It should be cold, so it’s good to ear warm clothes when going out."
"가: 웨이민 시가 오늘 동창회에 온데요? 나: 모르겠어요 벌써 초대장을 받았을 텐데 연락이 없네요.","A: Did wei Ming say she would come to the alumni meeting today? B: I’m not sure She should have received the invitation, but i haven’t heard from her."
"가: 시험공부를 안 해서 큰일이에요. 나: 시험을 못 보면 진급을 못할 텐데 걱정이에요.","A: I’m in big trouble because I haven’t studied for the exam. B: Me too. If we don’t do well on the test, we won’t advance, so I’m worried."
"가: 저녁에 택배가 하나 오는데 좀 받아 주세요. 나: 저도 저녁에는 집에 없을 텐데 어떡하지요?.","A: evening delivery one coming pls receive for me pls. B: I also evening home will not be, what should we do?"
"가: 어제 야근하느라고 많이 피곤했을 텐데 오늘은 일찍 들어가세요. 나: 네, 이것만 마무리하고 가려고요.","A: yesterday late working after very tired must be, today early leave pls. B: yes. This only wrap up and go intend to."
"가: 제니 씨에게 같이 여행 가자고 할까요? 나: 제나 씨는 요즘 바쁠 텐데요.","A: Shall we ask Jena to go on the trip with us? B: I think Jena is busy these days."
"가: 경수 씨가 요즘 시험 준비하느라 바쁘대요. 나: 이번에는 꼭 합격해야 할 텐데.","A: I heard gyeongsu is busy trying to prepare for his exam. B: He really has to pass this time."
"가 태풍이 와서 비행기가 모두 취소되었어요. 나: 태풍이 오지 않았더라면 비행기가 취소되지 않았을 텐데요.","A: All the flights were canceled because of the typhoon. B: They wouldn’t have been canceled if there hadn’t been a typhoon."
"비가 올 텐데 우산을 가지고 가세요.","it’s supposed to rain, so please take an umbrella."
"가: 커피 한잔 주실래요? 나: 지금 커피를 마시면 잠이 안 텐데 우유를 드세요.","A: coffee one glass have wanna? B: now coffee drink if sleep won’t come, milk have."
"가: 주말에 백화점에 같이 가실래요? 나: 세일 중이라 사람이 많을 텐데 다음에 가자요.","A: weekend department store together go wanna? B: sale middle of so people a lot will be, next time let’s go."
"가: 뮤지컬 ‘왕과 나’를 보러 가실래요? 나: 그 뮤지컬은 벌써 끝났을 텐데 다른 공연을 보자요.","A: musical king and me see in order to go wanna? B: that musical already over i assume, next performance let’s see."
"가: 오후에 같이 테니스 칠까요? 나: 오후에는 날씨가 꽤 더울 텐데요.","A: afternoon together tennis play shall we? B: afternoon weather very hot will be im thinking."
"가: 오늘은 커피숍에 가서 공부할까요? 나: 커피숍은 시끄러울 텐데요.","A: Today coffee shop go and study shall we. B: coffee shop noisy will be im guessing."
"가: 아키라 씨랑 같이 영화를 볼까요? 나: 아키라 씨는 고향에 돌아갔을 텐데요.","A: akira with together movie see shall we? B: akira hometown returned im guessing."
